person,event,offer_id,amount,reward,time,이상치여부
0215efe5136d4a038cb81eae92d59368,offer viewed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,342,이상치아님
0215efe5136d4a038cb81eae92d59368,offer received,5a8bc65990b245e5a138643cd4eb9837,,,408,이상치아님
0215efe5136d4a038cb81eae92d59368,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,432,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,16.03,,456,이상치아님
0215efe5136d4a038cb81eae92d59368,offer received,f19421c1d4aa40978ebb69ca19b0e20d,,,504,이상치아님
0215efe5136d4a038cb81eae92d59368,offer viewed,f19421c1d4aa40978ebb69ca19b0e20d,,,528,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,11.96,,534,이상치아님
0215efe5136d4a038cb81eae92d59368,offer completed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,5.0,534,이상치아님
0215efe5136d4a038cb81eae92d59368,offer completed,f19421c1d4aa40978ebb69ca19b0e20d,,5.0,534,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,14.87,,552,이상치아님
0215efe5136d4a038cb81eae92d59368,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,576,이상치아님
0215efe5136d4a038cb81eae92d59368,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,588,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,14.47,,618,이상치아님
0215efe5136d4a038cb81eae92d59368,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,618,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,20.18,,696,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,13.39,,90,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,168,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,8.2,,186,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,192,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,8.75,,204,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,336,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,360,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,15.79,,396,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer completed,4d5c57ea9a6940dd891ad53e9dbe8da0,,10.0,396,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,9.06,,414,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,6.78,,444,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer received,5a8bc65990b245e5a138643cd4eb9837,,,504,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,516,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,6.73,,516,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer received,5a8bc65990b245e5a138643cd4eb9837,,,576,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,13.51,,582,이상치아님
02b7a80a321c4b078af92d494cc0f012,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,606,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,6.92,,612,이상치아님
02b7a80a321c4b078af92d494cc0f012,transaction,,301.03,,618,이상치
02b7a80a321c4b078af92d494cc0f012,transaction,,10.0,,678,이상치아님
032aaa79b15e4103a9e91a786d416734,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,0,이상치아님
032aaa79b15e4103a9e91a786d416734,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,12,이상치아님
032aaa79b15e4103a9e91a786d416734,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,168,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,10.96,,174,이상치아님
032aaa79b15e4103a9e91a786d416734,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,174,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,3.58,,216,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,3.65,,222,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,2.51,,228,이상치아님
032aaa79b15e4103a9e91a786d416734,offer completed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,5.0,228,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,1.79,,306,이상치아님
032aaa79b15e4103a9e91a786d416734,offer viewed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,312,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,2.38,,318,이상치아님
032aaa79b15e4103a9e91a786d416734,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,336,이상치아님
032aaa79b15e4103a9e91a786d416734,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,348,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,3.7800000000000002,,372,이상치아님
032aaa79b15e4103a9e91a786d416734,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,504,이상치아님
032aaa79b15e4103a9e91a786d416734,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,510,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,2.54,,510,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,110.51,,528,이상치
032aaa79b15e4103a9e91a786d416734,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,528,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,2.81,,534,이상치아님
032aaa79b15e4103a9e91a786d416734,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,576,이상치아님
032aaa79b15e4103a9e91a786d416734,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,576,이상치아님
032aaa79b15e4103a9e91a786d416734,transaction,,4.73,,678,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,0,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,2.32,,96,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,2.55,,150,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer received,2906b810c7d4411798c6938adc9daaa5,,,168,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,0.51,,210,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,1.75,,318,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,336,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,354,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,3.44,,366,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,408,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,414,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,0.55,,438,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,113.89,,486,이상치
04362cece3104f4ebcb3d49ef0bc7e9c,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,486,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,486,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,504,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,552,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,6.02,,564,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,3.14,,570,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,570,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,7.83,,612,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,6.74,,648,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,0.43,,654,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,1.57,,672,이상치아님
04362cece3104f4ebcb3d49ef0bc7e9c,transaction,,0.18,,678,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,2906b810c7d4411798c6938adc9daaa5,,,0,이상치아님
04bd9be0d1374492800aca71e512ed51,offer viewed,2906b810c7d4411798c6938adc9daaa5,,,12,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,3.6,,48,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,1.23,,54,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,4.16,,96,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,7.99,,132,이상치아님
04bd9be0d1374492800aca71e512ed51,offer completed,2906b810c7d4411798c6938adc9daaa5,,2.0,132,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,10.19,,156,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,168,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,0.48,,222,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,3f207df678b143eea3cee63160fa8bed,,,336,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,4.48,,402,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,408,이상치아님
04bd9be0d1374492800aca71e512ed51,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,426,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,1.54,,432,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,3.09,,450,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,8.66,,498,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,2906b810c7d4411798c6938adc9daaa5,,,504,이상치아님
04bd9be0d1374492800aca71e512ed51,offer viewed,2906b810c7d4411798c6938adc9daaa5,,,510,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,2.92,,516,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,0.8,,534,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,1.21,,546,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,103.66,,552,이상치
04bd9be0d1374492800aca71e512ed51,offer completed,2906b810c7d4411798c6938adc9daaa5,,2.0,552,이상치아님
04bd9be0d1374492800aca71e512ed51,offer received,ae264e3637204a6fb9bb56bc8210ddfd,,,576,이상치아님
04bd9be0d1374492800aca71e512ed51,offer viewed,ae264e3637204a6fb9bb56bc8210ddfd,,,576,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,1.69,,576,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,3.9699999999999998,,600,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,6.21,,618,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,0.9400000000000001,,660,이상치아님
04bd9be0d1374492800aca71e512ed51,transaction,,1.06,,666,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer received,ae264e3637204a6fb9bb56bc8210ddfd,,,0,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer viewed,ae264e3637204a6fb9bb56bc8210ddfd,,,6,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,628.41,,12,이상치
04f1f44632cd409cace939fa62b5fc7a,offer completed,ae264e3637204a6fb9bb56bc8210ddfd,,10.0,12,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,22.1,,66,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,168,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,12.19,,294,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,336,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,492,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,504,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,522,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,576,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,576,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,16.66,,582,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer completed,4d5c57ea9a6940dd891ad53e9dbe8da0,,10.0,582,이상치아님
04f1f44632cd409cace939fa62b5fc7a,offer completed,4d5c57ea9a6940dd891ad53e9dbe8da0,,10.0,582,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,24.92,,648,이상치아님
04f1f44632cd409cace939fa62b5fc7a,transaction,,27.8,,678,이상치아님
050cdb2d5b4b4bb3b1c612e17e0e8c1b,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,0,이상치아님
050cdb2d5b4b4bb3b1c612e17e0e8c1b,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,12,이상치아님
050cdb2d5b4b4bb3b1c612e17e0e8c1b,transaction,,8.94,,42,이상치아님
